year,number,car_title,result,group,entrant,bodywork,engine,drivers,sponsor,colour,tyre,updated,contributor,make,model,suffix,chassis,result_raw,result_txt,result_status,grid,grid_time,finish_gap,dnf_reason,thumb_url,photo_url,make_url,model_url,suffix_url,chassis_url
1960,11,Ferrari 250 TR Fantuzzi Spyder 59/60 #0774TR=>0772TR - Ferrari Tipo 128 LM V12/60° 2v SOHC 2953 cc N/A,1,S3.0,Scuderia Ferrari (I),Open bodywork,Front-engined,Olivier Gendebien (B)/Paul Frère (B),"-
Registration: Prova.MO.53",red,Dunlop,09/11/2022,Serge Dubois and Jelle ter Veer,Ferrari,250 TR,Fantuzzi Spyder 59/60,#0774TR=>0772TR,Result: winner - (175.730 kph) - margin: 4 lapsGrid:,winner - (175.730 kph) - margin: 4 lapsGrid:,finished,NA,NA,175.730 kph,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-011.jpg,https://www.racingsportscars.com/photo/1960/Le_Mans-1960-06-26-011.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20TR.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20TR/Fantuzzi%20Spyder%2059__60.html,https://www.racingsportscars.com/chassis/photo/0774TR%20%5b250TR%5d.html
1960,17,Ferrari 250 TR Fantuzzi Spyder 59 #0766TR - Ferrari Tipo 128 LM V12/60° 2v SOHC 2953 cc N/A,2,S3.0,N. A. R. T. (USA),Open bodywork,Front-engined,"André Pilette (B)/Ricardo Rodriguez (MEX)listed, never drove: Pedro Rodriguez (MEX)",-,red,NA,09/11/2022,Jelle ter Veer,Ferrari,250 TR,Fantuzzi Spyder 59,#0766TR,Result: 2nd (4 laps behind the winner)Grid:,2nd (4 laps behind the winner)Grid:,finished,NA,NA,4 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-017.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20TR.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20TR/Fantuzzi%20Spyder%2059.html,https://www.racingsportscars.com/chassis/photo/0766TR%20%5b250TR%5d.html
1960,7,Aston Martin DBR1/300 #3 - Aston Martin L6 2992 cc N/A,3,S3.0,Border Reivers (GB),Open bodywork,Front-engined,Jim Clark (GB)/Roy Salvadori (GB)DNS: John Whitmore (GB),"unknown
Registration: FSH 360",dark blue,NA,09/11/2022,Jelle ter Veer,Aston Martin,DBR1,/300,#3,Result: 3rd (8 laps behind the winner)Grid:,3rd (8 laps behind the winner)Grid:,finished,NA,NA,8 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-007.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/DBR1.html,https://www.racingsportscars.com/suffix/photo/Aston%20Martin/DBR1/__300.html,https://www.racingsportscars.com/chassis/photo/DBR1__3.html
1960,16,Ferrari 250 GT SWB Berlinetta #2001 - Ferrari V12/60° 2v SOHC 2953 cc N/A,4,GT3.0,F. Tavano (F),Closed bodywork,Front-engined,"Fernand Tavano (F)/Pierre Dumay (F)listed, never drove: Jean Delaboudiniere (F)","-
Registration: MO 57998",dark blue,NA,09/11/2022,Jelle ter Veer,Ferrari,250 GT,SWB Berlinetta,#2001,Result: 4th 1st in GT3.0 (12 laps behind the winner)Grid:,4th 1st in GT3.0 (12 laps behind the winner)Grid:,finished,NA,NA,12 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-016.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20GT.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20GT/SWB%20Berlinetta.html,https://www.racingsportscars.com/chassis/photo/250.GT.2001.html
1960,18,Ferrari 250 GT SWB Berlinetta #1931 - Ferrari V12/60° 2v SOHC 2953 cc N/A,5,GT3.0,N. A. R. T. (USA),Closed bodywork,Front-engined,"George Arents (USA)/Alan Connell (USA)listed, never drove: William Kimberly (USA)","-
Registration: EE 0 2015",yellow,NA,31/08/2020,Charles M. Scales III,Ferrari,250 GT,SWB Berlinetta,#1931,Result: 5th (14 laps behind the winner)Grid:,5th (14 laps behind the winner)Grid:,finished,NA,NA,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-018.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20GT.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20GT/SWB%20Berlinetta.html,https://www.racingsportscars.com/chassis/photo/250.GT.1931.html
1960,22,Ferrari 250 GT SWB Berlinetta #2021 - Ferrari V12/60° 2v SOHC 2953 cc N/A,6,GT3.0,Ecurie Francorchamps (B),Closed bodywork,Front-engined,"""Eldé"" (B)/Pierre Noblet (B)listed, never drove: Jacques Swaters (B)",-,silver (+blue),NA,31/08/2020,Charles M. Scales III,Ferrari,250 GT,SWB Berlinetta,#2021,Result: 6th (14 laps behind the winner)Grid:,6th (14 laps behind the winner)Grid:,finished,NA,NA,14 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-022.jpg,https://www.racingsportscars.com/photo/1960/Le_Mans-1960-06-26-022.jpg,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20GT.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20GT/SWB%20Berlinetta.html,https://www.racingsportscars.com/chassis/photo/250.GT.2021.html
1960,19,Ferrari 250 GT SWB #1759 - Ferrari V12 2953 cc N/A,7,GT3.0,N. A. R. T. (USA),Closed bodywork,Front-engined,Ed Hugus (USA)/Augie Pabst (USA),"-
Registration: 02016 EE",red,NA,31/08/2020,Charles M. Scales III,Ferrari,250 GT,SWB,#1759,Result: 7th (15 laps behind the winner)Grid:,7th (15 laps behind the winner)Grid:,finished,NA,NA,15 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-019.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Ferrari.html,https://www.racingsportscars.com/type/photo/Ferrari/250%20GT.html,https://www.racingsportscars.com/suffix/photo/Ferrari/250%20GT/SWB.html,https://www.racingsportscars.com/chassis/photo/250.GT.1759.html
1960,3,Chevrolet Corvette C1 #00867S102538 - Chevrolet V8/90° 2v OHV 4640 cc N/A,8,GT5.0,B. S. Cunningham (USA),Closed hardtop bodywork,Front-engined,"John Fitch (USA)/Bob Grossman (USA)listed, never drove: Dick Thompson (USA), Ed Hugus (USA)",NA,white (+blue),Firestone,31/08/2020,Jean Pierre Hubin and Charles M. Scales III,Chevrolet,Corvette,C1,#00867S102538,Result: 8th 1st in GT5.0 (33 laps behind the winner)Grid:,8th 1st in GT5.0 (33 laps behind the winner)Grid:,finished,NA,NA,33 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-003.jpg,https://www.racingsportscars.com/photo/1960/Le_Mans-1960-06-26-003.jpg,https://www.racingsportscars.com/make/photo/Chevrolet.html,https://www.racingsportscars.com/type/photo/Chevrolet/Corvette.html,https://www.racingsportscars.com/suffix/photo/Chevrolet/Corvette/C1.html,https://www.racingsportscars.com/chassis/photo/00867S102538.html
1960,8,Aston Martin DBR1/300 #2 - Aston Martin L6 2v DOHC 2992 cc N/A,9,S3.0,M. I. Bailie (GB),Open bodywork,Front-engined,Ian Baillie (GB)/Jack Fairman (GB),NA,light blue,NA,NA,NA,Aston Martin,DBR1,/300,#2,Result: 9th (33 laps behind the winner)Grid:,9th (33 laps behind the winner)Grid:,finished,NA,NA,33 laps behind the winner,NA,https://www.racingsportscars.com/images/car_no_photo.png,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Aston%20Martin.html,https://www.racingsportscars.com/type/photo/Aston%20Martin/DBR1.html,https://www.racingsportscars.com/suffix/photo/Aston%20Martin/DBR1/__300.html,https://www.racingsportscars.com/chassis/photo/DBR1__2.html
1960,35,Porsche 356 B 1600 GS Carrera Abarth GTL #1001 - Porsche F4 2v DOHC 1588 cc N/A,10,S1.6,Porsche (D),Closed bodywork,Rear-engined,"Herbert Linge (D)/Hans Walter (D)listed, never drove: Hans Herrmann (D)","unknown
Registration: S-KH 17",silver,NA,31/08/2020,Charles M. Scales III,Porsche,356,B 1600 GS Carrera Abarth GTL,#1001,Result: 10th 1st in S1.6 (45 laps behind the winner)Grid:,10th 1st in S1.6 (45 laps behind the winner)Grid:,finished,NA,NA,45 laps behind the winner,NA,https://www.racingsportscars.com/tn/photo/1960/TN_Le_Mans-1960-06-26-035.jpg,https://www.racingsportscars.com/NA,https://www.racingsportscars.com/make/photo/Porsche.html,https://www.racingsportscars.com/type/photo/Porsche/356.html,https://www.racingsportscars.com/suffix/photo/Porsche/356/B%201600%20GS%20Carrera%20Abarth%20GTL.html,https://www.racingsportscars.com/chassis/photo/1001%20%5b356B%5d.html
